Summary,Issue Type,Description,Status,Epic Name,Labels,Start Date,Due Date,Priority
MRRED Platform — Master Epic,Epic,"Parent epic for all Mr. Red (MrRED) deal intelligence app work completed Jun 26–30 2026. Stack: Next.js 16, Better Auth, Neon Postgres, Drizzle, Tailwind 4.",To Do,MRRED Platform,mrred,2026-06-26,2026-06-30,High
Chat home empty state (Claude-style),Story,"Built /dashboard chat home with centered hero, Mr. Red branding, greeting, large composer, and suggestion pills below input. Suggestions fill the composer on click (no auto-send). Files: DealChat.tsx, ChatComposer.tsx, SuggestionChip.tsx.",Done,MRRED — Chat & AI Experience,chat|dashboard|ui,2026-06-26,2026-06-26,High
Mr. Red mascot and wordmark branding,Story,"Added MrRedMascot, MrRedWordmark, MrRedBrand components. Asset at public/mrred-mascot.png. Used across landing, auth, sidebar, chat, footer, favicon.",Done,MRRED — Branding & UI Polish,branding|mascot,2026-06-26,2026-06-26,Medium
Landing page,Story,"Full marketing landing at / with hero, stats strip, features grid, how-it-works, signals section, dark CTA, SiteFooter. File: LandingPage.tsx, page.tsx.",Done,MRRED — Marketing & Landing,landing|marketing,2026-06-26,2026-06-26,High
Marketing legal pages,Task,"About, Privacy, Terms pages under (marketing)/layout.tsx with shared header and footer.",Done,MRRED — Marketing & Landing,marketing|legal,2026-06-26,2026-06-26,Medium
Top navigation restructure,Story,"Moved Overview, Deals, Rules, Scoring, Gates, Leaderboard, Audit, Outcomes to Header. Sidebar reserved for New chat + chat history only. Files: Header.tsx, Sidebar.tsx, nav-items.ts, AppNavLinks.tsx.",Done,MRRED — App Shell & Navigation,navigation|header,2026-06-26,2026-06-26,High
Chat history persistence,Story,"Added chats + chat_messages schema, /api/chats CRUD, dev-store fallback, ChatSessionContext, ChatHistoryList in sidebar, URL ?chat=id. Files: db/schema/chats.ts, chat-api.ts, ChatSessionContext.tsx.",Done,MRRED — Chat & AI Experience,chat|database|api,2026-06-26,2026-06-26,High
Auth hero panel,Task,"Login/signup left panel with mascot + animated TrafficLight + wordmark. File: AuthHeroPanel.tsx.",Done,MRRED — Auth & Deployment,auth|ui,2026-06-26,2026-06-26,Low
Middleware public routes,Task,"Public access for /, /about, /privacy, /terms, /login, /signup, /api/auth. File: middleware.ts.",Done,MRRED — Auth & Deployment,auth|middleware,2026-06-26,2026-06-26,Medium
Full-width layout fix,Bug,"Removed fake sidebar spacer on landing that caused right-lean layout. Container uses max-w-7xl for marketing; fluid column for dashboard. Files: Container.tsx, LandingPage.tsx, AppLayout.tsx.",Done,MRRED — App Shell & Navigation,layout|bugfix,2026-06-26,2026-06-26,High
Mobile nav hamburger collapse,Bug,"Nav links hidden below lg in header; hamburger opens sidebar drawer with Navigate section. AppLayout holds mobile menu state. No horizontal scroll on mobile.",Done,MRRED — App Shell & Navigation,navigation|mobile|bugfix,2026-06-26,2026-06-26,High
Desktop nav right-aligned,Task,"Header nav uses justify-end with increased gap. User/sign-out on far right.",Done,MRRED — App Shell & Navigation,navigation,2026-06-26,2026-06-26,Low
Chat suggestion pills layout,Task,"Empty and active chat use wrapping pill chips with intrinsic width. File: SuggestionChip.tsx, DealChat.tsx.",Done,MRRED — Chat & AI Experience,chat|ui,2026-06-26,2026-06-26,Medium
Chat disclaimer under composer,Task,"Disclaimer text below composer via ChatDisclaimer.tsx (AI accuracy warning).",Done,MRRED — Chat & AI Experience,chat|compliance,2026-06-26,2026-06-26,Low
Premium red query composer,Story,"Red-bordered gradient composer with shadow/glow on focus. Hero and bar variants. File: ChatComposer.tsx, globals.css.",Done,MRRED — Branding & UI Polish,ui|composer,2026-06-29,2026-06-29,High
Voice input (mic) in composer,Story,"Web Speech API mic button with listening state. File: useSpeechRecognition.ts, ChatComposer.tsx.",Done,MRRED — Chat & AI Experience,chat|voice,2026-06-29,2026-06-29,Medium
Document upload in chat composer,Story,"Paperclip upload for PDF/Word/Excel/etc. Attachment chips, included in message body, mock doc analysis reply. Files: ChatComposer.tsx, DealChat.tsx.",Done,MRRED — Chat & AI Experience,chat|upload,2026-06-29,2026-06-29,High
Premium landing and dashboard styling,Story,"Glass surfaces, refined typography, gradient hero/CTA, premium feature cards, radial backgrounds. Files: LandingPage.tsx, Header.tsx, Sidebar.tsx, globals.css.",Done,MRRED — Branding & UI Polish,ui|landing,2026-06-29,2026-06-29,Medium
Dancing mascot only on empty chat,Task,"DancingMrRed removed from active chat thread; shows only on chat homepage empty state.",Done,MRRED — Chat & AI Experience,chat|ui,2026-06-29,2026-06-29,Low
Favicon set to Mr. Red mascot,Task,"layout.tsx icons point to /mrred-mascot.png including apple touch icon.",Done,MRRED — Branding & UI Polish,branding,2026-06-29,2026-06-29,Low
Single-color verdict responses,Story,"Chat replies return one red/amber/green verdict with reasoning only — no signal comparison table. File: chat-suggestions.ts.",Done,MRRED — Chat & AI Experience,chat|verdict,2026-06-29,2026-06-29,High
